graph,tpart,blocks,tstop,job,scale0,scale1,iter,concurrent,flips,updates,neighbor_updates,cut,ene,anneal,u,m,nodes,edges,BKS,Ratio,bits,GS,target,factor,TTT,BTT,GInd,Type
G027,7.0644359863032585e-09,4,4e-05,2180.5,3.0,0.8,19.5,0.0,3276983.575,3265654.875,172711.875,3304.4,-6650.8,4.00033e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9890451960490871,11324329.381015897,1.0,0.98,1.0,4e-05,,27,ER
G027,1.4617293520857793e-08,4,4e-05,1700.5,3.0,0.8,19.5,0.0,3835921.425,1957014.325,103666.875,3306.8,-6655.6,4.00131e-05,0.0,0.0,2000.0,19990.0,3341.0,0.989763543849147,5472969.3897058265,1.0,0.98,1.0,4e-05,,27,ER
G028,1.0161837155313268e-08,4,4e-05,1980.5,3.0,0.8,19.5,0.0,3587324.8,2597059.125,136717.25,3272.075,-6648.15,4.00055e-05,0.0,0.0,2000.0,19990.0,3298.0,0.992139175257732,7872592.2072241455,1.0,0.98,1.0,4e-05,,28,ER
G028,1.4617293520857793e-08,4,4e-05,1740.5,3.0,0.8,19.5,0.0,3828946.75,1957743.4,103106.3,3268.0,-6640.0,4.00131e-05,0.0,0.0,2000.0,19990.0,3298.0,0.9909035779260158,5472969.3897058265,1.0,0.98,1.0,4e-05,,28,ER
G027,3.4141926296659515e-09,4,4e-05,2660.5,3.0,0.8,19.5,0.0,2302180.35,4155644.7,218865.8,3302.325,-6646.65,4.00034e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9884241245136186,23431601.165347043,1.0,0.98,1.0,4e-05,,27,ER
G027,4.911145006735545e-09,4,4e-05,2420.5,3.0,0.8,19.5,0.0,2842736.975,3842393.6,202709.375,3306.775,-6655.55,4.00006e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9897560610595629,16289480.333055016,1.0,0.98,1.0,4e-05,,27,ER
G028,2.102624423214588e-08,4,4e-05,1500.5,3.0,0.8,19.5,0.0,4032282.55,1441059.65,75873.2,3262.0,-6628.0,4.00029e-05,0.0,0.0,2000.0,19990.0,3298.0,0.989084293511219,3804768.893423789,1.0,0.98,1.0,4e-05,,28,ER
G027,1.0161837155313268e-08,4,4e-05,1940.5,3.0,0.8,19.5,0.0,3594314.65,2592172.75,137195.3,3309.675,-6661.35,4.00055e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9906240646513019,7872592.2072241455,1.0,0.98,1.0,4e-05,,27,ER
G029,1.0161837155313268e-08,4,4e-05,2020.5,3.0,0.8,19.5,0.0,3586310.625,2586712.25,136832.825,3367.75,-6655.5,4.00055e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9890602055800294,7872592.2072241455,1.0,0.98,1.0,4e-05,,29,ER
G029,1.4617293520857793e-08,4,4e-05,1780.5,3.0,0.8,19.5,0.0,3841885.425,1958020.375,103619.775,3362.725,-6645.45,4.00131e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9875844346549192,5472969.3897058265,1.0,0.98,1.0,4e-05,,29,ER
G027,2.102624423214588e-08,4,4e-05,1460.5,3.0,0.8,19.5,0.0,4031306.725,1436151.3,76048.775,3303.025,-6648.05,4.00029e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9886336426219694,3804768.893423789,0.975,0.98,1.24839270116357,4.9935708046542806e-05,,27,ER
