graph,blocks,Type,tpart,concurrent,index,job,iter,scale1,tstop,scale0,flips,updates,neighbor_updates,cut,ene,anneal,u,m,syncs,surprise_flips,gradient_difference_norm,tstep,nodes,edges,BKS,Ratio,GInd,Inverse Ratio,bits,GS,target,factor,TTT,BTT,solved
G028,4,ER,4.911145006735545e-09,False,7259.5,7260.5,19.5,0.8,2e-05,3.0,1436649.825,1957592.3,102727.025,3254.4,-6612.8,2.00028e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3298.0,0.9867798665858096,28.0,0.01322013341419041,8144740.166527508,0.975,0.98,1.24839270116357,2.497134952283466e-05,10167834.176766701,True
G028,4,ER,1.0161837155313268e-08,False,6779.5,6780.5,19.5,0.8,2e-05,3.0,1820160.075,1325787.1,69706.225,3253.95,-6611.9,2.00028e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3298.0,0.9866434202546998,28.0,0.013356579745300173,3936296.1036120728,0.975,0.98,1.24839270116357,2.497134952283466e-05,4914043.325367912,True
G028,4,ER,1.0161837155313268e-08,True,1979.5,1980.5,19.5,0.8,2e-05,3.0,3234180.7,,,3253.575,-6611.15,2e-05,,,1967.0,92904.25,6762082.5,2.2e-11,2000.0,19990.0,3298.0,0.9865297149787751,28.0,0.013470285021224979,3936296.1036120728,0.95,0.98,1.5372435736804821,3.074487147360965e-05,6051045.8893811805,True
G028,4,ER,7.0644359863032585e-09,False,7019.5,7020.5,19.5,0.8,2e-05,3.0,1652185.425,1659855.575,87169.275,3258.475,-6620.95,2.00052e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3298.0,0.9880154639175258,28.0,0.011984536082474202,5662164.690507948,0.95,0.98,1.5372435736804821,3.075286514019278e-05,8704126.28360388,True
G027,4,ER,1.4617293520857793e-08,False,6499.5,6500.5,19.5,0.8,2e-05,3.0,1955877.35,1006600.675,53270.1,3289.7,-6621.4,2.00138e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3341.0,0.9846453157737205,27.0,0.015354684226279548,2736484.6948529133,0.95,0.98,1.5372435736804821,3.076608543492644e-05,4206643.511637636,True
G028,8,ER,7.97460302472002e-10,True,13259.5,13260.5,19.5,0.8,2e-05,3.0,2632074.725,,,3256.425,-6616.85,2e-05,,,24570.0,210692.175,23665525.0,2.2e-11,2000.0,19990.0,3298.0,0.9873938750758036,28.0,0.012606124924196476,50159236.611535735,0.925,0.98,1.777874594335703,3.5557491886714064e-05,89176832.44292264,True
G028,8,ER,5.543886575161143e-10,True,13499.5,13500.5,19.5,0.8,2e-05,3.0,2631772.425,,,3254.825,-6613.65,2e-05,,,34965.0,252689.2,28914037.5,2.2e-11,2000.0,19990.0,3298.0,0.9869087325651911,28.0,0.01309126743480897,72151548.30045803,0.925,0.98,1.777874594335703,3.5557491886714064e-05,128276404.6653697,True
G028,8,ER,2.6793217068308267e-10,True,13979.5,13980.5,19.5,0.8,2e-05,3.0,2573192.65,,,3258.175,-6620.35,2e-05,,,69930.0,352611.5,41801592.5,2.2e-11,2000.0,19990.0,3298.0,0.987924499696786,28.0,0.012075500303214054,149291516.19987088,0.925,0.98,1.777874594335703,3.5557491886714064e-05,265421593.8016075,True
G028,8,ER,1.8626451492309566e-10,True,14219.5,14220.5,19.5,0.8,2e-05,3.0,2595185.625,,,3256.2,-6616.4,2e-05,,,101010.0,428802.9,51333357.5,2.2e-11,2000.0,19990.0,3298.0,0.9873256519102487,28.0,0.012674348089751347,214748364.8000001,0.925,0.98,1.777874594335703,3.5557491886714064e-05,381795661.95305574,True
G027,8,ER,1.8626451492309566e-10,True,14179.5,14180.5,19.5,0.8,2e-05,3.0,2616456.95,,,3295.05,-6632.1,2e-05,,,101010.0,432373.7,51002717.5,2.2e-11,2000.0,19990.0,3341.0,0.9862466327446873,27.0,0.013753367255312763,214748364.8000001,0.925,0.98,1.777874594335703,3.5557491886714064e-05,381795661.95305574,True
G027,8,ER,2.6793217068308267e-10,True,13939.5,13940.5,19.5,0.8,2e-05,3.0,2622637.625,,,3293.525,-6629.05,2e-05,,,69930.0,359318.8,41950362.5,2.2e-11,2000.0,19990.0,3341.0,0.9857901825800658,27.0,0.014209817419934137,149291516.19987088,0.925,0.98,1.777874594335703,3.5557491886714064e-05,265421593.8016075,True
G029,4,ER,1.147106683004697e-09,True,3459.5,3460.5,19.5,0.8,2e-05,3.0,2738345.45,,,3355.95,-6631.9,2e-05,,,17152.0,182153.6,17214010.0,2.2e-11,2000.0,19990.0,3405.0,0.9855947136563877,29.0,0.014405286343612331,34870339.95410539,0.925,0.98,1.777874594335703,3.5557491886714064e-05,61995091.500253186,True
