,graph,size,snap,tstop,density,nodes,index,job,stepsize,tpart,scale0,scale1,randomize_mapping,iter,size.1,tstop.1,stepsize.1,tpart.1,scale0.1,scale1.1,iter.1,flips,updates,neighbor_updates,cut,ene,anneal,u,m,tstep,edges,BKS,Ratio,problem_memory,memory_area,im_area,brim_power,brim_ene_baseline,remaining_area,max_memory_nodes,sweeps,updates_per_step,steps,loads,latency,step_ops,uops,ops,Time,Time_PL1,Time_PL2,Time_Pipelined,brim_ene_running,load_energy,energy,energy_pipelined,bytes,GS,target,factor,ATT,TPTT,TTT,FTT,OTT,ETT,EPTT,BETT,RETT,SOTT,UOTT,BTT,STT,solved,BTT_SA,OTT_SA,AOTT,TTT_SA,ETT_SA,Time (PL),Energy,Energy (PL)
0,G023,2000,False,1e-06,0.01,2000,11864.5,11865.5,0.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,2000.0,1e-06,0.0,1.0000000000000001e-07,2.0,0.5,14.5,339507.6,,,13180.1,-6370.2,1.00001e-06,,,2.1999999999999998e-11,19990.0,13344.0,0.9877173261390887,29985.0,0.1,200.0,1.99498672,1.9950066698672e-06,0.0,0.0,0.0,,,,,0.0,,,277249.527504725,,,1.00001e-06,1.9950066698672e-06,,1.9950066698672e-06,1.9950066698672e-06,,1.0,0.98,1.0,1.00001e-06,1.00001e-06,1.00001e-06,339507.6,,1.9950066698672e-06,1.9950066698672e-06,1.9950066698672e-06,1.9950066698672e-06,0.0,,,0.0,1,317994725.43333334,2892411469.1666665,2654411469.1666665,0.2772523,9.7038305,277249.527504725,4864059.176627188,4864059.176627188
1,G023,1750,True,1e-06,0.01,2000,9944.5,9945.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,1750.0,1e-06,50.0,1.0000000000000001e-07,2.0,0.5,14.5,130993.3,236.13333333333333,4704.533333333334,13100.733333333334,-6211.466666666666,1.00001e-06,0.0,0.0,2.1999999999999998e-11,19990.0,13344.0,0.981769584332534,29985.0,0.1,154.0,1.6726967074999999,1.672713434467075e-06,46.0,4300.0,0.25,23.613333333333333,10.0,1875000.0,2.1400000000000003e-06,1750000.0,472266.6666666667,2222266.6666666665,11627.935681042854,3.028333333333333e-06,2.124999999998217e-06,5.15333333333155e-06,1.2603546664784835e-05,4.71e-05,6.197154153145151e-05,5.727111703264648e-05,1995066.6666666667,0.7666666666666667,0.98,3.164440725380991,3.164472369788245e-06,1.630741787145773e-05,2.384363894031572e-05,414520.5332720498,7032231.142656663,0.00019610526983676463,0.00018123105512616748,5.29320251391952e-06,3.98831763502849e-05,5537771.269416735,1494459.8732399296,6313270.209850103,0.7911101813452478,1,317994725.43333334,2892411469.1666665,2654411469.1666665,0.2772523,9.7038305,17001.60639688178,49482.762539106356,53543.97177263297
2,G023,1250,True,1e-05,0.01,2000,7064.5,7065.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,1250.0,1e-05,50.0,1.0000000000000001e-07,2.0,0.5,14.5,1021122.1666666666,1279.2,25309.033333333333,13157.266666666666,-6324.533333333334,1e-05,0.0,0.0,2.1999999999999998e-11,19990.0,13344.0,0.9860061950439648,29985.0,0.1,79.0,1.0906166874999998,1.0906166875e-05,121.0,7000.0,2.5000000000000004,12.791999999999998,100.00000000000001,16250000.000000004,2.140000000000001e-05,12500000.000000002,2558400.0,15058400.000000002,3930.981005922014,2.6116666666666667e-05,1.70833333333155e-05,4.319999999998217e-05,7.692125313559834e-05,0.0004082000000000001,0.0005063507991889318,0.00046831784089997524,18188800.000000004,1.0,0.98,1.0,1e-05,4.319999999998217e-05,7.053005333333335e-05,1021122.1666666666,15058400.000000002,0.0005063507991889318,0.00046831784089997524,1.0906166875e-05,7.692125313559834e-05,12500000.000000002,2558400.0,18188800.000000004,2.5000000000000004,1,317994725.43333334,2892411469.1666665,2654411469.1666665,0.2772523,9.7038305,6417.877314817463,19164.244463608058,20720.608212046685
3,G023,1500,True,1e-05,0.01,2000,8984.5,8985.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,1500.0,1e-05,50.0,1.0000000000000001e-07,2.0,0.5,14.5,1165805.0333333334,1307.2,25874.933333333334,13215.966666666667,-6441.933333333333,1e-05,0.0,0.0,2.1999999999999998e-11,19990.0,13344.0,0.9904051758593125,29985.0,0.1,113.0,1.37124003,1.3712400300000001e-05,87.0,5900.0,2.5000000000000004,13.072,100.00000000000001,17500000.000000004,2.140000000000001e-05,15000000.000000004,2614400.0,17614400.000000004,3834.2391604987433,2.8200000000000004e-05,1.9166666666648836e-05,4.736666666664884e-05,9.915381807328802e-05,0.00043960000000000006,0.0005605190076732881,0.0005188084360876369,18827200.000000004,1.0,0.98,1.0,1e-05,4.736666666664884e-05,7.230960000000002e-05,1165805.0333333334,17614400.000000004,0.0005605190076732881,0.0005188084360876369,1.3712400300000001e-05,9.915381807328802e-05,15000000.000000004,2614400.0,18827200.000000004,2.5000000000000004,1,317994725.43333334,2892411469.1666665,2654411469.1666665,0.2772523,9.7038305,5853.320900776306,17312.223791090615,18704.072303020213
4,G023,1000,True,1e-05,0.01,2000,5144.5,5145.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,1000.0,1e-05,50.0,1.0000000000000001e-07,2.0,0.5,14.5,870247.2,1238.0,24432.133333333335,13086.866666666667,-6183.733333333334,1e-05,0.0,0.0,2.1999999999999998e-11,19990.0,13344.0,0.980730415667466,29985.0,0.1,50.0,0.8308266799999999,8.3082668e-06,150.0,7700.0,2.5000000000000004,12.379999999999999,100.00000000000001,15000000.000000004,2.140000000000001e-05,10000000.000000002,2476000.0,12476000.000000002,1052.3936839398898,2.403333333333334e-05,1.4999999999982169e-05,3.903333333331551e-05,5.7224018411680004e-05,0.0003768000000000001,0.0004547556944116801,0.0004209789680759799,17496000.000000004,0.7,0.98,3.8249785787863972,3.8249785787863976e-05,0.00014930166385856086,0.0002634492245924919,3328676.8982488415,47720432.7489391,0.0017394307897058094,0.0016102355350102258,3.177894253684221e-05,0.00021888064461675442,38249785.78786398,9470646.96107512,66921825.21444682,9.562446446965994,1,317994725.43333334,2892411469.1666665,2654411469.1666665,0.2772523,9.7038305,1856.9940403520998,5578.739066497273,6026.342289072869
5,G023,500,True,0.0001,0.01,2000,824.5,825.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,500.0,0.0001,50.0,1.0000000000000001e-07,2.0,0.5,14.5,3255653.3,2963.233333333333,57240.4,13158.566666666668,-6327.133333333333,0.0001,0.0,0.0,2.1999999999999998e-11,19990.0,13344.0,0.9861036171063149,29985.0,0.1,13.0,0.37374667,3.7374667e-05,187.0,8600.0,25.000000000000004,2.963233333333333,1000.0000000000001,125000000.00000001,0.00021400000000000002,50000000.00000001,5926466.666666667,55926466.66666667,437.1780257198884,0.00019866666666666668,0.000108333333333155,0.0003069999999998217,0.00023702500532639867,0.00314,0.0035679150715930657,0.00334714722768988,134089700.00000001,1.0,0.98,1.0,0.0001,0.0003069999999998217,0.0006341862666666666,3255653.3,55926466.66666667,0.0035679150715930657,0.00334714722768988,3.7374667e-05,0.00023702500532639867,50000000.00000001,5926466.666666667,134089700.00000001,25.000000000000004,1,317994725.43333334,2892411469.1666665,2654411469.1666665,0.2772523,9.7038305,903.1019543979187,2719.748173733088,2899.1346480738316
6,G023,750,True,0.0001,0.01,2000,2744.5,2745.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,750.0,0.0001,50.0,1.0000000000000001e-07,2.0,0.5,14.5,4780439.566666666,3208.8333333333335,62097.76666666667,13191.8,-6393.6,0.0001,0.0,0.0,2.1999999999999998e-11,19990.0,13344.0,0.9885941247002399,29985.0,0.1,29.0,0.5918700075000001,5.918700075000001e-05,171.0,8300.0,25.000000000000004,3.2088333333333328,1000.0000000000001,137500000.00000003,0.00021400000000000002,75000000.00000001,6417666.666666667,81417666.66666669,425.4139621570972,0.0002195,0.00012916666666648835,0.00034866666666648837,0.0003857356257145934,0.003454000000000001,0.004035904415936817,0.003765314009281508,145722083.33333337,1.0,0.98,1.0,0.0001,0.00034866666666648837,0.0006517235555555557,4780439.566666666,81417666.66666669,0.004035904415936817,0.003765314009281508,5.918700075000001e-05,0.0003857356257145934,75000000.00000001,6417666.666666667,145722083.33333337,25.000000000000004,1,317994725.43333334,2892411469.1666665,2654411469.1666665,0.2772523,9.7038305,795.1786806887432,2404.375698711274,2577.1636777384397
7,G024,2000,False,1e-06,0.01,2000,11654.5,11655.5,0.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,2000.0,1e-06,0.0,1.0000000000000001e-07,2.0,0.5,14.5,339179.63333333336,,,13174.6,-6359.2,1.00001e-06,,,2.1999999999999998e-11,19990.0,13337.0,0.9878233485791408,29985.0,0.1,200.0,1.99498672,1.9950066698672e-06,0.0,0.0,0.0,,,,,0.0,,,276766.2990036766,,,1.00001e-06,1.9950066698672e-06,,1.9950066698672e-06,1.9950066698672e-06,,1.0,0.98,1.0,1.00001e-06,1.00001e-06,1.00001e-06,339179.63333333336,,1.9950066698672e-06,1.9950066698672e-06,1.9950066698672e-06,1.9950066698672e-06,0.0,,,0.0,1,313254715.56666666,2852924555.8333335,2614924555.8333335,0.2767690666666667,9.686917333333334,276766.2990036766,4855581.427193001,4855581.427193001
8,G024,1750,True,1e-06,0.01,2000,9734.5,9735.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,1750.0,1e-06,50.0,1.0000000000000001e-07,2.0,0.5,14.5,132356.63333333333,231.76666666666668,4633.3,13091.133333333333,-6192.266666666666,1.00001e-06,0.0,0.0,2.1999999999999998e-11,19990.0,13337.0,0.9815650696058584,29985.0,0.1,154.0,1.6726967074999999,1.672713434467075e-06,46.0,4300.0,0.25,23.176666666666666,10.0,1875000.0,2.1400000000000003e-06,1750000.0,463533.3333333333,2213533.3333333335,11615.3619807804,3.028333333333333e-06,2.124999999998217e-06,5.15333333333155e-06,1.2595199111692168e-05,4.71e-05,6.19616918450255e-05,5.727111703264648e-05,1992883.3333333333,0.7666666666666667,0.98,3.164440725380991,3.164472369788245e-06,1.630741787145773e-05,2.3827846874219532e-05,418834.72079431923,7004595.026988337,0.00019607410108790592,0.00018123105512616748,5.29320251391952e-06,3.985676101332118e-05,5537771.269416735,1466823.757571602,6306361.180933021,0.7911101813452478,1,313254715.56666666,2852924555.8333335,2614924555.8333335,0.2767690666666667,9.686917333333334,16971.973665498896,49404.369468410296,53450.64799512203
9,G024,1250,True,1e-05,0.01,2000,6854.5,6855.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,1250.0,1e-05,50.0,1.0000000000000001e-07,2.0,0.5,14.5,1023983.2333333333,1280.1666666666667,25353.066666666666,13147.8,-6305.6,1e-05,0.0,0.0,2.1999999999999998e-11,19990.0,13337.0,0.9858139011771763,29985.0,0.1,79.0,1.0906166874999998,1.0906166875e-05,121.0,7000.0,2.5000000000000004,12.801666666666666,100.00000000000001,16250000.000000004,2.140000000000001e-05,12500000.000000002,2560333.3333333335,15060333.333333336,3924.0435020142268,2.6116666666666667e-05,1.70833333333155e-05,4.319999999998217e-05,7.6922939956075e-05,0.0004082000000000001,0.0005063529515560751,0.00046831784089997524,18190250.000000004,1.0,0.98,1.0,1e-05,4.319999999998217e-05,7.053160000000001e-05,1023983.2333333333,15060333.333333336,0.0005063529515560751,0.00046831784089997524,1.0906166875e-05,7.6922939956075e-05,12500000.000000002,2560333.3333333335,18190250.000000004,2.5000000000000004,1,313254715.56666666,2852924555.8333335,2614924555.8333335,0.2767690666666667,9.686917333333334,6406.691358027336,19130.76107004893,20684.493494242717
