job,iter,tstop,size,graph_class,schedule,tpart,graph,get_averages,burn_in,samples,fixed-temp,scale0,concurrent,flips,cut,ene,anneal,u,m,syncs,surprise_flips,gradient_difference_norm
1,0,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
2,1,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,12344.0,11238.0,-22625.0,1e-05,-22.5735,-0.037313,4995.0,1263.0,64136.1
3,2,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,5149.0,10900.0,-21949.0,1e-05,-21.9359,0.0157799,4995.0,817.0,25100.3
4,3,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,2851.0,10902.0,-21953.0,1e-05,-21.9339,0.0478449,4995.0,701.0,13725.9
5,4,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,5193.0,10674.0,-21497.0,1e-05,-21.4844,-0.0599589,4995.0,876.0,25454.1
6,5,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,5076.0,10855.0,-21859.0,1e-05,-21.8305,0.00682732,4995.0,823.0,25536.8
7,6,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,4513.0,10779.0,-21707.0,1e-05,-21.6958,-0.0420505,4995.0,776.0,22110.2
8,7,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,5404.0,11182.0,-22513.0,1e-05,-22.4622,-0.0438281,4995.0,836.0,29304.3
9,8,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,5542.0,11209.0,-22567.0,1e-05,-22.5119,0.00531558,4995.0,832.0,29228.6
10,9,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,4558.0,11069.0,-22287.0,1e-05,-22.2012,0.0370718,4995.0,845.0,21850.3
11,10,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,5395.0,11000.0,-22149.0,1e-05,-22.0338,0.00125013,4995.0,927.0,29620.8
12,11,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
13,12,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,5864.0,11100.0,-22349.0,1e-05,-22.2941,0.0224201,4995.0,873.0,31226.0
14,13,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
15,14,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
16,15,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
17,16,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
18,17,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,2899.0,10963.0,-22075.0,1e-05,-22.0589,-0.0331112,4995.0,601.0,13880.6
19,18,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,4550.0,11031.0,-22211.0,1e-05,-22.1936,-0.0109919,4995.0,846.0,22780.9
20,19,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,4045.0,10838.0,-21825.0,1e-05,-21.7699,-0.0389858,4995.0,734.0,22845.2
21,20,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
22,21,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
23,22,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,7802.0,11091.0,-22331.0,1e-05,-22.2866,0.00842308,4995.0,1037.0,39711.1
24,23,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,4179.0,10793.0,-21735.0,1e-05,-21.7204,0.0660563,4995.0,756.0,19339.7
25,24,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,3671.0,11022.0,-22193.0,1e-05,-22.1574,-0.00810757,4995.0,699.0,16437.9
26,25,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
27,26,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,2939.0,11304.0,-22757.0,1e-05,-22.7391,0.0318122,4995.0,729.0,14373.3
28,27,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,4443.0,10700.0,-21549.0,1e-05,-21.538,-0.052023,4995.0,828.0,21687.1
29,28,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
30,29,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
31,30,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,5150.0,11093.0,-22335.0,1e-05,-22.3045,-0.0213633,4995.0,844.0,27354.6
32,31,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,8109.0,11210.0,-22569.0,1e-05,-22.4535,0.0627154,4995.0,965.0,40217.9
33,32,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,7921.0,11159.0,-22467.0,1e-05,-22.424,-0.0684569,4995.0,991.0,40963.0
