job,size,scale0,tstop,tpart,concurrent,schedule,graph_class,get_averages,fixed-temp,burn_in,samples,graph,iter,flips,cut,ene,anneal,u,m,syncs,surprise_flips,gradient_difference_norm
1,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,0,4888,19364,-39864,1.00001e-06,-39.3328,-0.0073601,499,1347,22920.2
2,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,1,3100,19338,-39812,1.00001e-06,-39.546,0.0447629,499,832,13705.1
3,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,2,4338,19335,-39806,1.00001e-06,-39.3835,0.0298573,499,1251,19010.2
4,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,3,3844,18641,-38418,1.00001e-06,-38.0474,-0.0102723,499,1165,17259.1
5,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,4,4054,19015,-39166,1.00001e-06,-38.6171,-0.00779465,499,1220,18864.8
6,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,5,4634,19295,-39726,1.00001e-06,-39.2341,-0.0450433,499,1258,20741.9
7,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,6,3999,18203,-37542,1.00001e-06,-37.2833,-0.00980275,499,1188,16665.7
8,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,7,3100,19056,-39248,1.00001e-06,-39.0396,0.00104642,499,771,13229.5
9,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,8,5937,19514,-40164,1.00001e-06,-39.3313,-0.0161933,499,1775,26976.4
10,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,9,4297,19498,-40132,1.00001e-06,-39.4941,0.0298084,499,1042,20388.2
11,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,10,4452,18887,-38910,1.00001e-06,-38.4961,-0.0223814,499,1304,20218.6
12,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,11,3409,18831,-38798,1.00001e-06,-38.524,0.00943613,499,1075,13953.9
13,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,12,4832,19812,-40760,1.00001e-06,-39.7525,0.0205959,499,1302,24511.7
14,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,13,3916,18677,-38490,1.00001e-06,-38.1999,-0.0136297,499,1104,17025.4
15,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,14,4826,19186,-39508,1.00001e-06,-38.8632,0.0188148,499,1366,23191.0
16,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,15,2634,19020,-39176,1.00001e-06,-38.9411,-0.00771457,499,848,10962.6
17,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,16,3258,19652,-40440,1.00001e-06,-40.1394,-0.0407352,499,846,14542.5
18,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,17,4067,18981,-39098,1.00001e-06,-38.8284,-0.00531548,499,1268,17155.9
19,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,18,4539,19332,-39800,1.00001e-06,-39.3905,-0.0123254,499,1398,19745.8
20,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,19,3972,19275,-39686,1.00001e-06,-39.283,0.0373168,499,1087,18277.1
21,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,20,4818,19236,-39608,1.00001e-06,-39.1833,-0.0146934,499,1294,20208.6
22,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,21,3958,19745,-40626,1.00001e-06,-39.9469,0.0266638,499,964,17436.3
23,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,22,4120,19655,-40446,1.00001e-06,-40.123,-0.00853522,499,1226,16820.8
24,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,23,4458,18722,-38580,1.00001e-06,-37.9943,-0.0196492,499,1311,18746.2
25,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,24,3482,18551,-38238,1.00001e-06,-37.9064,-0.0287173,499,963,15290.4
26,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,25,4245,18945,-39026,1.00001e-06,-38.1394,0.0442464,499,1094,20819.1
27,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,26,3200,19813,-40762,1.00001e-06,-40.4804,0.00967532,499,901,14391.8
28,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,27,3984,19289,-39714,1.00001e-06,-39.3178,0.038012,499,1259,18453.7
29,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,28,3649,18930,-38996,1.00001e-06,-38.7597,-0.0662459,499,976,14019.2
30,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,29,3791,19288,-39712,1.00001e-06,-39.3214,-0.0210903,499,1161,16818.7
31,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,30,4158,19375,-39886,1.00001e-06,-39.4637,0.00878325,499,1058,18444.8
32,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,31,3640,19169,-39474,1.00001e-06,-39.1965,-0.0163858,499,1094,14454.5
33,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,32,4446,19180,-39496,1.00001e-06,-39.126,-0.0269427,499,1252,20020.9
34,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,33,3570,18959,-39054,1.00001e-06,-38.6773,-0.0220508,499,1064,15450.3
35,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,34,3457,19086,-39308,1.00001e-06,-39.0917,0.0230842,499,866,14092.5
36,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,35,3683,19076,-39288,1.00001e-06,-38.977,-0.0416492,499,1121,17001.9
37,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,36,5645,19592,-40320,1.00001e-06,-39.5871,0.040317,499,1636,25376.4
38,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,37,4920,19556,-40248,1.00001e-06,-39.2911,0.038708,499,1241,23545.8
39,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,38,4030,19225,-39586,1.00001e-06,-39.2444,0.0110952,499,1208,17448.4
40,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_2_outer.gset,39,4867,19301,-39738,1.00001e-06,-39.0044,0.0348369,499,1274,23937.3
41,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,0,5016,30254,-58740,1.00001e-06,-57.3704,0.00896872,499,1210,22887.3
42,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,1,4276,29194,-56620,1.00001e-06,-56.1187,0.0398758,499,1441,17855.1
43,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,2,3626,29521,-57274,1.00001e-06,-56.8399,0.0100946,499,914,17236.7
44,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,3,3868,30383,-58998,1.00001e-06,-58.4227,-0.0168485,499,1194,17001.6
45,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,4,4146,30257,-58746,1.00001e-06,-58.1129,0.049467,499,1253,19433.8
46,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,5,4049,29224,-56680,1.00001e-06,-56.1111,-0.0482868,499,1149,18742.2
47,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,6,3992,29968,-58168,1.00001e-06,-57.7176,0.00538109,499,1243,16268.8
48,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,7,4664,29228,-56688,1.00001e-06,-56.2283,0.0417286,499,1326,19914.8
49,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,8,4667,29640,-57512,1.00001e-06,-56.8629,0.0136922,499,1414,21395.3
50,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,9,4211,29388,-57008,1.00001e-06,-56.4902,-0.0247472,499,1186,17960.6
51,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,10,3398,30061,-58354,1.00001e-06,-57.8912,0.0151283,499,1060,15250.8
52,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,11,4249,29679,-57590,1.00001e-06,-57.0786,-0.00714705,499,1158,18422.7
53,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,12,3618,30322,-58876,1.00001e-06,-58.3294,0.0383762,499,1184,15375.0
54,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,13,4634,30205,-58642,1.00001e-06,-58.0224,-0.0073572,499,1296,19473.9
55,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,14,4588,30448,-59128,1.00001e-06,-58.3097,0.030566,499,1361,20805.8
56,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,15,4521,30895,-60022,1.00001e-06,-58.4142,-0.0265132,499,1103,21804.5
57,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,16,3876,29588,-57408,1.00001e-06,-56.8657,-0.0276427,499,1045,17888.2
58,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,17,4860,29536,-57304,1.00001e-06,-56.6987,-0.00748057,499,1272,21114.2
59,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,18,3601,30528,-59288,1.00001e-06,-58.8346,-0.0394438,499,876,15360.0
60,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,19,3493,30634,-59500,1.00001e-06,-59.0394,-0.0228335,499,996,14943.6
61,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,20,4294,30480,-59192,1.00001e-06,-58.2626,0.00858314,499,1274,18347.9
62,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,21,4055,30020,-58272,1.00001e-06,-57.5827,0.0256097,499,1118,18679.8
63,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,22,4226,29367,-56966,1.00001e-06,-56.4717,-0.009692,499,1458,17878.2
64,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,23,3837,30199,-58630,1.00001e-06,-58.0338,0.0225146,499,1085,17635.2
65,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,24,4757,29870,-57972,1.00001e-06,-57.2116,0.0313056,499,1369,21580.4
66,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,25,3710,29500,-57232,1.00001e-06,-56.7976,0.0210702,499,1259,14440.0
67,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,26,4337,28466,-55164,1.00001e-06,-54.7132,-0.0466327,499,1520,16604.4
68,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,27,3796,30551,-59334,1.00001e-06,-58.7974,-0.0413134,499,1050,17564.4
69,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,28,4252,30455,-59142,1.00001e-06,-58.5099,-0.0224556,499,1227,17865.5
70,250,1.0,1e-06,2e-09,True,quad,partitioning_strengths,True,True,5000,30000,fc_1_inner_3_outer.gset,29,3588,29897,-58026,1.00001e-06,-57.6107,-0.0230589,499,920,15067.3
