graph,blocks,epoch,bandwidth,solver,cut,k,bits
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11538.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11558.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11536.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11521.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11552.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11538.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11501.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11572.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11539.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11583.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11580.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11562.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11578.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11544.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11518.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11517.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11564.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11549.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11562.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11575.0,1,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11535.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11611.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11554.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11582.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11568.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11556.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11550.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11596.0,2,0
