tstop,beta0,beta1,mean_gs,std_gs,feasible,epoch_real,sync_frequency,Bandwidth (Gbps)
136.0,1.0,22.0,-21.554655647277833,0.004751185397617475,0.48,1.8626451492309416e-10,5368709120.000045,1000.0000000000083
136.0,1.0,22.0,-21.554881858825684,0.00472949557006355,0.506,2.2235822709546097e-10,4497247585.854732,837.6776400682947
136.0,1.0,22.0,-21.554957103729247,0.004534348996821735,0.507,2.6544605759959535e-10,3767243744.5216155,701.7038286703854
136.0,1.0,28.0,-27.51175537109375,0.00334763665450732,0.49,2.9103830456733647e-10,3435973836.800007,1000.000000000002
136.0,1.0,22.0,-21.55441846847534,0.0045300535392015645,0.446,3.168833031975827e-10,3155735849.472893,587.8016072274918
136.0,1.0,28.0,-27.511508750915528,0.00384841646300624,0.483,3.4743472983665885e-10,2878238454.947019,837.6776400682921
136.0,1.0,22.0,-21.55464563369751,0.00451360829174514,0.489,3.782878855065881e-10,2643489359.0653577,492.388263170674
136.0,1.0,28.0,-27.511393547058105,0.00383341178530822,0.475,4.1475946499936883e-10,2411035996.4938273,701.7038286703835
136.0,1.0,37.0,-33.4974328994751,0.004508259077556379,0.577,4.190951585769645e-10,2386092942.222227,1000.000000000002
136.0,1.0,22.0,-21.55487060546875,0.004494417598471,0.484,4.5159124156131006e-10,2214391927.84751,412.46263829013515
136.0,1.0,28.0,-27.51148729324341,0.00483249203534792,0.474,4.951301612462221e-10,2019670943.6626554,587.8016072274929
136.0,1.0,37.0,-33.49751281738281,0.00393510264111679,0.549,5.003060109647883e-10,1998776704.8243206,837.6776400682928
136.0,1.0,22.0,-21.554495906829835,0.00471926989266645,0.509,5.390990757787128e-10,1854946604.3055801,345.51072945922243
136.0,1.0,46.0,-39.73824958801269,0.01474912781268353,0.435,5.7043507695198e-10,1753047875.918369,1000.000000000001
136.0,1.0,28.0,-27.511349201202393,0.00414016115246336,0.461,5.910748211040432e-10,1691833189.801831,492.38826317067463
136.0,1.0,37.0,-33.497455787658694,0.0044559795584063495,0.545,5.972536295990907e-10,1674330553.1207147,701.703828670384
136.0,1.0,22.0,-21.554851722717284,0.004602362145669715,0.486,6.435638842344691e-10,1553847293.9473882,289.4266124716752
136.0,1.0,46.0,-39.739418029785156,0.010790341458050485,0.436,6.80972070479851e-10,1468489007.626031,837.6776400682926
136.0,1.0,28.0,-27.511624145507813,0.003361315745860295,0.469,7.056113149395456e-10,1417210833.8224092,412.462638290136
136.0,1.0,37.0,-33.497484016418454,0.0039129348821006155,0.543,7.129874321945604e-10,1402549266.4323983,587.8016072274924
136.0,1.0,22.0,-21.55482711791992,0.0044552759383804695,0.476,7.682715324501219e-10,1301623134.2203515,242.44620170823325
136.0,1.0,46.0,-39.73864803314209,0.01387321612564843,0.428,8.129285513987626e-10,1230120406.3744023,701.7038286703838
136.0,1.0,28.0,-27.511490535736083,0.004224134399555565,0.478,8.423423059042395e-10,1187165826.7555704,345.5107294592222
136.0,1.0,37.0,-33.497344398498534,0.004229288978967765,0.534,8.511477423898219e-10,1174884159.5846052,492.38826317067475
